date,1. open,2. high,3. low,4. close,5. volume
2024-04-17 19:59:00,411.24,411.42,411.07,411.42,851.0
2024-04-17 19:58:00,411.42,411.42,411.21,411.34,113.0
2024-04-17 19:57:00,411.2,411.42,411.0,411.24,107.0
2024-04-17 19:56:00,411.4,411.4,411.19,411.19,357.0
2024-04-17 19:55:00,411.305,411.38,411.305,411.38,102.0
2024-04-17 19:54:00,411.37,411.42,411.305,411.305,35.0
2024-04-17 19:53:00,411.39,411.39,411.38,411.38,229.0
2024-04-17 19:52:00,411.42,411.42,411.19,411.305,2342.0
2024-04-17 19:51:00,411.4,411.42,411.27,411.27,589.0
2024-04-17 19:50:00,411.3,411.42,411.25,411.27,695.0
2024-04-17 19:49:00,411.36,411.4,411.3,411.3,68.0
2024-04-17 19:48:00,411.39,411.42,411.25,411.335,541.0
2024-04-17 19:47:00,411.25,411.4,411.25,411.4,11.0
2024-04-17 19:46:00,411.3,411.33,411.3,411.33,13.0
2024-04-17 19:45:00,411.36,411.36,411.3,411.32,105.0
2024-04-17 19:44:00,411.25,411.4,411.19,411.4,798.0
2024-04-17 19:43:00,411.245,411.29,411.2,411.2,72.0
2024-04-17 19:42:00,411.32,411.32,411.245,411.29,15.0
2024-04-17 19:41:00,411.3,411.3,411.295,411.295,51.0
2024-04-17 19:40:00,411.345,411.39,411.21,411.21,153.0
2024-04-17 19:39:00,411.3,411.5,411.23,411.345,61.0
2024-04-17 19:37:00,411.345,411.5,411.345,411.39,41.0
2024-04-17 19:36:00,411.345,411.39,411.345,411.39,3.0
2024-04-17 19:35:00,411.19,411.45,411.19,411.19,255.0
2024-04-17 19:34:00,411.59,411.59,411.24,411.48,58.0
2024-04-17 19:33:00,411.59,411.59,411.39,411.59,62.0
2024-04-17 19:32:00,411.21,411.59,411.19,411.5,126.0
2024-04-17 19:31:00,411.21,411.59,411.19,411.35,57.0
2024-04-17 19:30:00,411.37,411.59,411.33,411.39,69.0
2024-04-17 19:29:00,411.3,411.59,411.3,411.37,9.0
2024-04-17 19:28:00,411.38,411.59,411.37,411.59,15.0
2024-04-17 19:27:00,411.05,411.6,411.05,411.6,7.0
2024-04-17 19:26:00,411.12,411.6,411.12,411.325,104.0
2024-04-17 19:25:00,411.44,411.6,411.11,411.6,1191.0
2024-04-17 19:24:00,411.45,411.59,411.32,411.45,397.0
2024-04-17 19:23:00,411.42,411.42,411.17,411.33,260.0
2024-04-17 19:22:00,411.6,411.62,411.41,411.41,2216.0
2024-04-17 19:21:00,411.69,411.69,411.55,411.6,8.0
2024-04-17 19:20:00,411.61,411.7,411.56,411.6,61.0
2024-04-17 19:19:00,411.573,411.7,411.573,411.61,8.0
2024-04-17 19:18:00,411.62,411.69,411.55,411.635,415.0
2024-04-17 19:17:00,411.55,411.62,411.55,411.55,58.0
2024-04-17 19:16:00,411.6,411.66,411.55,411.62,207.0
2024-04-17 19:15:00,411.67,411.69,411.55,411.62,89.0
2024-04-17 19:14:00,411.69,411.69,411.62,411.69,6.0
2024-04-17 19:13:00,411.62,411.62,411.55,411.62,229.0
2024-04-17 19:12:00,411.64,411.69,411.6,411.69,65.0
2024-04-17 19:11:00,411.56,411.69,411.56,411.62,43.0
2024-04-17 19:10:00,411.55,411.69,411.55,411.62,58.0
2024-04-17 19:09:00,411.7,411.7,411.625,411.7,179.0
2024-04-17 19:08:00,411.7,411.7,411.625,411.68,45.0
2024-04-17 19:07:00,411.68,411.7,411.6,411.6,55.0
2024-04-17 19:06:00,411.625,411.68,411.625,411.68,28.0
2024-04-17 19:05:00,411.68,411.696,411.6,411.696,102.0
2024-04-17 19:04:00,411.625,411.7,411.625,411.69,213.0
2024-04-17 19:03:00,411.65,411.7,411.55,411.625,1996.0
2024-04-17 19:02:00,411.6,411.65,411.55,411.65,801.0
2024-04-17 19:01:00,411.65,411.65,411.6,411.6,1148.0
2024-04-17 19:00:00,411.64,411.65,411.6,411.65,609.0
2024-04-17 18:59:00,411.6,411.64,411.6,411.64,21.0
2024-04-17 18:58:00,411.64,411.64,411.6,411.6,137.0
2024-04-17 18:57:00,411.64,411.65,411.55,411.65,8.0
2024-04-17 18:56:00,411.6,411.6,411.6,411.6,2.0
2024-04-17 18:55:00,411.65,411.65,411.6,411.64,1191.0
2024-04-17 18:54:00,411.6,411.65,411.6,411.65,426.0
2024-04-17 18:53:00,411.65,411.65,411.55,411.62,279.0
2024-04-17 18:52:00,411.65,411.65,411.6,411.65,23.0
2024-04-17 18:51:00,411.65,411.65,411.6,411.65,43.0
2024-04-17 18:50:00,411.6,411.65,411.6,411.6,22.0
2024-04-17 18:49:00,411.6,411.65,411.55,411.647,71.0
2024-04-17 18:48:00,411.62,411.65,411.55,411.6,60.0
2024-04-17 18:47:00,411.6,411.65,411.6,411.6,548.0
2024-04-17 18:46:00,411.6,411.65,411.55,411.55,310.0
2024-04-17 18:45:00,411.55,411.62,411.55,411.6,120.0
2024-04-17 18:44:00,411.55,411.65,411.55,411.6,307.0
2024-04-17 18:43:00,411.6,411.65,411.55,411.6,21.0
2024-04-17 18:42:00,411.55,411.65,411.55,411.65,30.0
2024-04-17 18:41:00,411.6,411.65,411.55,411.65,186.0
2024-04-17 18:40:00,411.69,411.699,411.56,411.6,1242.0
2024-04-17 18:39:00,411.69,411.7,411.65,411.675,379.0
2024-04-17 18:38:00,411.65,411.7,411.65,411.69,69.0
2024-04-17 18:37:00,411.7,411.7,411.65,411.65,235.0
2024-04-17 18:36:00,411.7,411.7,411.65,411.7,54.0
2024-04-17 18:35:00,411.675,411.7,411.675,411.7,15.0
2024-04-17 18:34:00,411.69,411.7,411.675,411.7,227.0
2024-04-17 18:33:00,411.65,411.7,411.65,411.7,79.0
2024-04-17 18:32:00,411.675,411.69,411.675,411.69,54.0
2024-04-17 18:31:00,411.7,411.7,411.66,411.69,100.0
2024-04-17 18:30:00,411.65,411.7,411.65,411.65,367.0
2024-04-17 18:29:00,411.7,411.7,411.65,411.65,169.0
2024-04-17 18:28:00,411.7,411.7,411.65,411.655,418.0
2024-04-17 18:27:00,411.675,411.7,411.65,411.675,9.0
2024-04-17 18:26:00,411.65,412.0,411.65,411.675,267.0
2024-04-17 18:25:00,412.0,412.0,411.78,412.0,5.0
2024-04-17 18:24:00,411.78,412.0,411.66,411.825,58.0
2024-04-17 18:23:00,411.575,412.0,411.55,411.71,3813.0
2024-04-17 18:22:00,411.599,411.6,411.55,411.575,7.0
2024-04-17 18:21:00,411.551,411.6,411.551,411.6,335.0
2024-04-17 18:20:00,411.64,411.65,411.575,411.575,194.0
2024-04-17 18:19:00,411.553,411.65,411.553,411.65,352.0
2024-04-17 18:18:00,411.7,411.7,411.6,411.6,74.0
2024-04-17 18:17:00,411.63,411.69,411.58,411.69,54.0
2024-04-17 18:16:00,411.625,411.7,411.55,411.7,108.0
2024-04-17 18:15:00,411.63,411.7,411.55,411.7,15.0
2024-04-17 18:14:00,411.65,411.7,411.55,411.625,223.0
2024-04-17 18:13:00,411.58,411.78,411.58,411.69,170.0
2024-04-17 18:12:00,411.69,411.8,411.69,411.78,236.0
2024-04-17 18:11:00,411.58,411.8,411.58,411.8,117.0
2024-04-17 18:10:00,411.79,411.8,411.65,411.69,380.0
2024-04-17 18:09:00,411.69,411.8,411.65,411.8,206.0
